Plug,Spat,Sample,Polyps,Cohort,Temperature,Nutrition,Treatment,Tank,ScanDate,Tissue,MeasureArea,Tissue.Intensity,Tissue.StDev,Symbiont.Intensity,Symbiont.StDev,Notes
A283,a,A283a,10,20170610,Ambient,No Heterotrophy,AN,16,20171106,Connecting,56947.87,604.58,189.28,594.79,297.26,"Average fluroescent values from polyp and connecting, not spat values"
A283,a,A283a,10,20170610,Ambient,No Heterotrophy,AN,16,20171106,Connecting,25092.02,492.53,148.8,609.05,314.85,
A283,a,A283a,10,20170610,Ambient,No Heterotrophy,AN,16,20171106,Connecting,21510.21,641.97,216.83,596.63,359.45,
A283,b,A283b,3,20170610,Ambient,No Heterotrophy,AN,16,20171106,Connecting,59589.42,467.43,103.63,455.19,246.21,
A283,b,A283b,3,20170610,Ambient,No Heterotrophy,AN,16,20171106,Connecting,41903.68,414.64,84.38,394.25,211.05,
A283,b,A283b,3,20170610,Ambient,No Heterotrophy,AN,16,20171106,Connecting,27433.03,457.63,84.91,528.24,274.6,
A283,c,A283c,2,20170610,Ambient,No Heterotrophy,AN,16,20171106,Connecting,19619.38,501.09,87.07,593.64,274.17,
A283,c,A283c,2,20170610,Ambient,No Heterotrophy,AN,16,20171106,Connecting,10249.13,434.35,86.91,485.06,193.58,
A283,c,A283c,2,20170610,Ambient,No Heterotrophy,AN,16,20171106,Connecting,7695.81,513.09,81.36,652.23,225.71,
A283,d,A283d,3,20170610,Ambient,No Heterotrophy,AN,16,20171106,Connecting,51471.4,424.15,96.91,419.32,266.34,
A283,d,A283d,3,20170610,Ambient,No Heterotrophy,AN,16,20171106,Connecting,39047.05,381.91,92.13,400.93,266.17,
A283,d,A283d,3,20170610,Ambient,No Heterotrophy,AN,16,20171106,Connecting,34635.27,415.26,91.87,448.08,260.42,
A333,a,A333a,15,20170610,Cool,Heterotrophy,CH,24,20171106,Connecting,45730.9,863.98,227.3,798.4,317.64,"A few oversaturated pixels, area not measured"
A333,a,A333a,15,20170610,Cool,Heterotrophy,CH,24,20171106,Connecting,63984.66,912.22,214.47,436.45,250.61,"A few oversaturated pixels, area not measured"
A333,a,A333a,15,20170610,Cool,Heterotrophy,CH,24,20171106,Connecting,82944.31,839.49,192.7,502.73,239.51,"A few oversaturated pixels, area not measured"
A333,b,A333b,3,20170610,Cool,Heterotrophy,CH,24,20171106,Connecting,44139.9,554.92,113.94,762.84,278.65,
A333,b,A333b,3,20170610,Cool,Heterotrophy,CH,24,20171106,Connecting,42088.42,525.45,118.81,649.86,296.37,
A333,b,A333b,3,20170610,Cool,Heterotrophy,CH,24,20171106,Connecting,30278.63,597.96,100.69,722.71,269.52,
A368,a,A368a,10,20170610,Cool,Heterotrophy,CH,19,20171106,Connecting,140234.09,608.89,136.99,759.1,286.56,"Some oversaturation (2-3 pixels), area not measured"
A368,a,A368a,10,20170610,Cool,Heterotrophy,CH,19,20171106,Connecting,69066.49,878.18,214.45,780.37,331.35,"Some oversaturation (2-3 pixels), area not measured"
A368,a,A368a,10,20170610,Cool,Heterotrophy,CH,19,20171106,Connecting,47225.4,865.99,192.95,742.7,301.58,"Some oversaturation (2-3 pixels), area not measured"
A368,b,A368b,4,20170610,Cool,Heterotrophy,CH,19,20171106,Connecting,46414.73,600.91,119.78,849.07,398.68,
A368,b,A368b,4,20170610,Cool,Heterotrophy,CH,19,20171106,Connecting,65225.48,554.45,159.62,747.44,332.29,
A368,b,A368b,4,20170610,Cool,Heterotrophy,CH,19,20171106,Connecting,16171.95,390.49,112.59,545.34,246.64,
A563,a,A563a,2,20170612,Cool,No Heterotrophy,CN,20,20171106,Connecting,35465.23,413.6,79.75,854.7,299.83,
A563,a,A563a,2,20170612,Cool,No Heterotrophy,CN,20,20171106,Connecting,46927.6,434.06,100.25,640.98,278.64,
A563,a,A563a,2,20170612,Cool,No Heterotrophy,CN,20,20171106,Connecting,46406.46,472.99,106.87,618.26,269.54,
A563,b,A563b,1,20170612,Cool,No Heterotrophy,CN,20,20171106,Connecting,12311.64,348.17,77.17,438.68,232.33,
A563,b,A563b,1,20170612,Cool,No Heterotrophy,CN,20,20171106,Connecting,11250.05,312.17,69.87,285.44,164.27,
A563,b,A563b,1,20170612,Cool,No Heterotrophy,CN,20,20171106,Connecting,5906.28,368.4,84.29,537.41,241,
A563,c,A563c,8,20170612,Cool,No Heterotrophy,CN,20,20171106,Connecting,60992.92,494.58,102.48,580.29,244.73,
A563,c,A563c,8,20170612,Cool,No Heterotrophy,CN,20,20171106,Connecting,66300.85,504.7,163.99,620.87,307.72,
A563,c,A563c,8,20170612,Cool,No Heterotrophy,CN,20,20171106,Connecting,47343.96,776.34,260.27,528.54,265.64,
A084,a,A084a,3,20170609,Ambient,Heterotrophy,AH,18,20171110,Connecting,81852.39,483.4,106.21,594.98,258.74,
A084,a,A084a,3,20170609,Ambient,Heterotrophy,AH,18,20171110,Connecting,38170.21,435.476,94.67,525.09,253.44,
A084,a,A084a,3,20170609,Ambient,Heterotrophy,AH,18,20171110,Connecting,18140.71,512.17,107.03,667.85,324.92,
A084,b,A084b,4,20170609,Ambient,Heterotrophy,AH,18,20171110,Connecting,52930.38,595.96,118.29,609.78,266.67,
A084,b,A084b,4,20170609,Ambient,Heterotrophy,AH,18,20171110,Connecting,19582.81,530.91,199.21,718.28,330.87,
A084,b,A084b,4,20170609,Ambient,Heterotrophy,AH,18,20171110,Connecting,28301.6,568.16,125.82,585.73,243.25,
A084,c,A084c,8,20170609,Ambient,Heterotrophy,AH,18,20171110,Connecting,28312.63,946.33,217.73,693.22,319.99,
A084,c,A084c,8,20170609,Ambient,Heterotrophy,AH,18,20171110,Connecting,49869.71,669.71,175.05,694.65,290.85,
A084,c,A084c,8,20170609,Ambient,Heterotrophy,AH,18,20171110,Connecting,37585.65,968.54,205.24,566.83,322.49,
A084,d,A084d,1,20170609,Ambient,Heterotrophy,AH,18,20171110,Connecting,9758.32,467.33,108.21,767.42,335.04,
A084,d,A084d,1,20170609,Ambient,Heterotrophy,AH,18,20171110,Connecting,5012.89,513.98,94.48,824.8,294.39,
A126,a,A126a,10,20170609,Cool,No Heterotrophy,CN,13,20171110,Connecting,57019.56,427.88,86.31,588.11,311.91,
A126,a,A126a,10,20170609,Cool,No Heterotrophy,CN,13,20171110,Connecting,58194.2,382.14,83.83,465.99,279.88,
A126,a,A126a,10,20170609,Cool,No Heterotrophy,CN,13,20171110,Connecting,33372.39,443.71,114.09,467.15,204.79,
A140,a,A140a,6,20170609,Cool,Heterotrophy,CH,17,20171110,Connecting,142486.85,796.82,205.04,889.19,351.08,
A140,a,A140a,6,20170609,Cool,Heterotrophy,CH,17,20171110,Connecting,81350.55,669.35,173.72,768.83,316.83,
A140,a,A140a,6,20170609,Cool,Heterotrophy,CH,17,20171110,Connecting,60005.78,584.64,158.71,807.47,325.88,
A140,b,A140b,6,20170609,Cool,Heterotrophy,CH,17,20171110,Connecting,61378.95,667.74,126.33,1076.55,350.34,
A140,b,A140b,6,20170609,Cool,Heterotrophy,CH,17,20171110,Connecting,55125.25,581.98,114.36,741.38,336.57,
