Plug.ID,StartDate,EndDate,Tank,Colony.ID,Fused.Initial,Area.Initial,Polyps.Initial,Fused.Final,Area.Final,Polyps.Final,Temperature,Nutrition,Treatment,Cohort,Days,Notes,Method Notes
A077,20170616,20170708,18,1,Fused,15.334,9,Fused,24.743,21,Ambient,Heterotrophy,AH,20170609,23,,
A077,20170616,20170708,18,5,Fused,7.039,6,Fused,16.742,13,Ambient,Heterotrophy,AH,20170609,23,,
A077,20170616,20170708,18,6,Fused,4.757,4,Fused,4.964,3,Ambient,Heterotrophy,AH,20170609,23,,
A078,20170616,20170708,18,1,Fused,3.473,2,Fused,6.78,7,Ambient,Heterotrophy,AH,20170609,23,,
A078,20170616,20170708,18,3,Fused,4.083,2,Fused,5.362,3,Ambient,Heterotrophy,AH,20170609,23,,
A078,20170616,20170708,18,4,Fused,4.551,2,Fused,5.087,3,Ambient,Heterotrophy,AH,20170609,23,,
A078,20170616,20170708,18,8,Fused,9.39,7,Fused,14.682,12,Ambient,Heterotrophy,AH,20170609,23,,
A078,20170616,20170708,18,10,Fused,4.002,3,Fused,2.779,1,Ambient,Heterotrophy,AH,20170609,23,,
A078,20170616,20170708,18,11,Fused,2.28,2,Fused,7.046,4,Ambient,Heterotrophy,AH,20170609,23,,
A080,20170615,20170703,18,1,Fused,5.861,2,Fused,11.235,10,Ambient,Heterotrophy,AH,20170609,19,,
A080,20170615,20170703,18,2,Fused,6.777,5,Fused,9.632,8,Ambient,Heterotrophy,AH,20170609,19,,
A080,20170615,20170703,18,4,Fused,23.161,12,Fused,39.55,27,Ambient,Heterotrophy,AH,20170609,19,,
A080,20170615,20170703,18,5,Fused,4.285,3,Fused,10.441,8,Ambient,Heterotrophy,AH,20170609,19,,
A080,20170615,20170703,18,7,Fused,24.742,15,Fused,38.113,34,Ambient,Heterotrophy,AH,20170609,19,,
A080,20170615,20170703,18,11,Fused,5.522,2,Fused,10.497,9,Ambient,Heterotrophy,AH,20170609,19,,
A080,20170615,20170703,18,12,Fused,12.552,10,Fused,19.7,21,Ambient,Heterotrophy,AH,20170609,19,,
A080,20170615,20170703,18,13,Fused,6.84,4,Fused,9.212,9,Ambient,Heterotrophy,AH,20170609,19,,
A104,20170615,20170703,14,1,Fused,12.532,7,Fused,0.918,1,Ambient,Heterotrophy,AH,20170609,19,"Other half of colony died, also individual polyp partially covered by scale bar so only traced area of what I saw.",
A114,20170616,20170708,14,1,Fused,3.234,4,Fused,5.973,6,Ambient,Heterotrophy,AH,20170609,23,,
A114,20170616,20170708,14,2,Fused,9.219,8,Fused,18.788,18,Ambient,Heterotrophy,AH,20170609,23,,
A117,20170616,20170708,14,5,Fused,4.324,3,Fused,8.077,7,Ambient,Heterotrophy,AH,20170609,23,,
A117,20170616,20170708,14,7,Fused,4.356,2,Fused,5.527,3,Ambient,Heterotrophy,AH,20170609,23,,
A117,20170616,20170708,14,9,Fused,11.865,10,Fused,13.003,13,Ambient,Heterotrophy,AH,20170609,23,,
A173,20170615,20170703,21,3,Fused,5.192,4,Fused,6.074,10,Ambient,Heterotrophy,AH,20170609,19,,
A173,20170615,20170703,21,5,Fused,2.584,2,Fused,NA,7,Ambient,Heterotrophy,AH,20170609,19,Fused together,
A175,20170615,20170703,21,1,Fused,8.704,7,Fused,16.676,20,Ambient,Heterotrophy,AH,20170609,19,,
A178,20170616,20170708,21,1,Fused,4.488,4,Fused,7.314,10,Ambient,Heterotrophy,AH,20170609,23,,
A178,20170616,20170708,21,3,Fused,5.617,3,Fused,7.012,11,Ambient,Heterotrophy,AH,20170609,23,,
A178,20170616,20170708,21,7,Fused,3.701,4,Fused,5.384,5,Ambient,Heterotrophy,AH,20170609,23,,
A181,20170615,20170703,21,3,Fused,2.582,3,Fused,3.915,3,Ambient,Heterotrophy,AH,20170609,19,,
A181,20170615,20170703,21,13,Fused,7.464,7,Fused,4.698,7,Ambient,Heterotrophy,AH,20170609,19,,
A261,20170616,20170708,14,9,Fused,2.34,2,Fused,3.9,2,Ambient,Heterotrophy,AH,20170610,23,"Polyps on edge, more so on final plug",
A261,20170616,20170708,14,15,Fused,8.164,4,Fused,16.214,10,Ambient,Heterotrophy,AH,20170610,23,,
A261,20170616,20170708,14,16,Fused,8.154,5,Fused,10.65,8,Ambient,Heterotrophy,AH,20170610,23,,
A264,20170616,20170708,14,6,Fused,2.295,2,Fused,4.746,5,Ambient,Heterotrophy,AH,20170610,23,,
A264,20170616,20170708,14,10,Fused,2.512,2,Fused,4.248,6,Ambient,Heterotrophy,AH,20170610,23,,
A271,20170615,20170703,14,5,Fused,10.689,8,Fused,3.51,3,Ambient,Heterotrophy,AH,20170610,19,,
A272,20170615,20170703,14,4,Fused,7.026,5,Fused,10.413,11,Ambient,Heterotrophy,AH,20170610,19,,
A272,20170615,20170703,14,5,Fused,23.658,22,Fused,34.64,35,Ambient,Heterotrophy,AH,20170610,19,,
A272,20170615,20170703,14,6,Fused,2.1,2,Fused,3.796,3,Ambient,Heterotrophy,AH,20170610,19,,
A294,20170616,20170708,18,3,Fused,3.465,2,Fused,8.106,5,Ambient,Heterotrophy,AH,20170610,23,,
A298,20170616,20170708,18,5,Fused,7.424,7,Fused,4.512,6,Ambient,Heterotrophy,AH,20170610,23,,
A299,20170616,20170708,18,2,Fused,24.77,20,Fused,28.279,35,Ambient,Heterotrophy,AH,20170610,23,,
A299,20170616,20170708,18,10,Fused,4.312,2,Fused,7.885,5,Ambient,Heterotrophy,AH,20170610,23,,
A299,20170616,20170708,18,15,Fused,1.459,2,Fused,4.838,5,Ambient,Heterotrophy,AH,20170610,23,,
A299,20170616,20170708,18,17,Fused,2.389,3,Fused,4.753,5,Ambient,Heterotrophy,AH,20170610,23,,
A362,20170615,20170703,21,6,Fused,4.091,5,Fused,NA,9,Ambient,Heterotrophy,AH,20170610,19,Fused together,
A362,20170615,20170703,21,7,Fused,2.438,3,Fused,NA,3,Ambient,Heterotrophy,AH,20170610,19,Fused together,
A437,20170616,20170708,18,1,Fused,2.882,2,Fused,3.297,2,Ambient,Heterotrophy,AH,20170611,23,,
A437,20170616,20170708,18,2,Fused,3.036,2,Fused,2.716,3,Ambient,Heterotrophy,AH,20170611,23,,
A437,20170616,20170708,18,6,Fused,4.06,4,Fused,8.696,11,Ambient,Heterotrophy,AH,20170611,23,,
A437,20170616,20170708,18,10,Fused,1.656,2,Fused,6.005,6,Ambient,Heterotrophy,AH,20170611,23,,
A439,20170615,20170703,18,2,Fused,3.801,3,Fused,4.31,4,Ambient,Heterotrophy,AH,20170611,19,,
A439,20170615,20170703,18,3,Fused,2.336,2,Fused,4.31,4,Ambient,Heterotrophy,AH,20170611,19,Colonies 2 and 3 fused,
A439,20170615,20170703,18,6,Fused,15.796,17,Fused,12.324,17,Ambient,Heterotrophy,AH,20170611,19,,
A441,20170615,20170703,18,5,Fused,4.58,4,Fused,6.569,6,Ambient,Heterotrophy,AH,20170611,19,,
A441,20170615,20170703,18,6,Fused,2.92,2,Fused,8.239,9,Ambient,Heterotrophy,AH,20170611,19,,
A441,20170615,20170703,18,8,Fused,3.486,2,Fused,6.402,8,Ambient,Heterotrophy,AH,20170611,19,,
A441,20170615,20170703,18,10,Fused,18.933,16,Fused,32.941,41,Ambient,Heterotrophy,AH,20170611,19,,
A441,20170615,20170703,18,13,Fused,2.824,2,Fused,3.362,3,Ambient,Heterotrophy,AH,20170611,19,,
A448,20170616,20170708,18,2,Fused,3.756,2,Fused,4.604,2,Ambient,Heterotrophy,AH,20170611,23,,
A448,20170616,20170708,18,3,Fused,2.725,2,Fused,6.283,8,Ambient,Heterotrophy,AH,20170611,23,,
A448,20170616,20170708,18,5,Fused,3.337,3,Fused,6.088,10,Ambient,Heterotrophy,AH,20170611,23,,
A462,20170616,20170708,14,1,Fused,1.837,2,Fused,2.933,4,Ambient,Heterotrophy,AH,20170611,23,,
A462,20170616,20170708,14,6,Fused,1.443,2,Fused,NA,NA,Ambient,Heterotrophy,AH,20170611,23,,
A464,20170615,20170703,14,3,Fused,3.221,2,Fused,3.175,5,Ambient,Heterotrophy,AH,20170611,19,,
A464,20170615,20170703,14,7,Fused,2.339,2,Fused,6.628,5,Ambient,Heterotrophy,AH,20170611,19,,
A519,20170616,20170708,21,2,Fused,1.242,2,Fused,2.227,3,Ambient,Heterotrophy,AH,20170611,23,,
A565,20170616,20170708,18,4,Fused,2.111,2,Fused,3.955,4,Ambient,Heterotrophy,AH,20170612,23,,
A627,20170616,20170708,21,3,Fused,4.229,3,Fused,9.338,9,Ambient,Heterotrophy,AH,20170612,23,,
A117,20170616,20170708,14,1,Not Fused,1.555,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170609,23,"Partyl on edge of the plug, but I think I was able to count all the polyps in the colony",
A117,20170616,20170708,14,2,Not Fused,1.453,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170609,23,,
A173,20170615,20170703,21,6,Not Fused,0.903,1,Fused,NA,7,Ambient,Heterotrophy,AH,20170609,19,Fused together,
A261,20170616,20170708,14,3,Not Fused,2.207,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A264,20170616,20170708,14,2,Not Fused,2.277,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A264,20170616,20170708,14,9,Not Fused,1.148,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170610,23,Very close to colony 10 but looks like they are sepeated by algae..,
A270,20170616,20170708,14,2,Not Fused,1.224,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170610,23,Final plug was on the edge but I think I got the majority of the colony,
A362,20170615,20170703,21,5,Not Fused,0.467,1,Fused,NA,1,Ambient,Heterotrophy,AH,20170610,19,Fused together,
A364,20170615,20170703,21,4,Not Fused,0.851,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A364,20170615,20170703,21,5,Not Fused,1.182,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A364,20170615,20170703,21,9,Not Fused,2.065,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A364,20170615,20170703,21,10,Not Fused,0.421,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A364,20170615,20170703,21,11,Not Fused,1.468,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A364,20170615,20170703,21,12,Not Fused,0.964,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A441,20170615,20170703,18,7,Not Fused,2.024,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170611,19,,
A462,20170616,20170708,14,3,Not Fused,1.426,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170611,23,,
A462,20170616,20170708,14,5,Not Fused,3.152,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170611,23,,
A462,20170616,20170708,14,7,Not Fused,0.501,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170611,23,,
A465,20170616,20170708,14,1,Not Fused,0.969,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170611,23,Could not find a match to the third one in the final plug,
A468,20170616,20170708,14,3,Not Fused,1.155,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170611,23,"Hard to tell if the polyp was just one, I think it may have been starting to form others so I just wrote down one",
A586,20170616,20170708,14,2,Not Fused,1.798,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170612,23,,
A627,20170616,20170708,21,2,Not Fused,0.923,1,Fused,NA,NA,Ambient,Heterotrophy,AH,20170612,23,,
A077,20170616,20170708,18,3,Fused,6.803,6,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,23,,
A077,20170616,20170708,18,9,Fused,3.023,3,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,23,,
A077,20170616,20170708,18,11,Fused,5.515,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,23,,
A077,20170616,20170708,18,13,Fused,5.648,3,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,23,,
A104,20170615,20170703,14,3,Fused,3.179,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A104,20170615,20170703,14,8,Fused,13.334,12,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A104,20170615,20170703,14,9,Fused,3.906,3,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A104,20170615,20170703,14,10,Fused,8.402,8,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A104,20170615,20170703,14,12,Fused,36.392,29,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A104,20170615,20170703,14,13,Fused,3.533,3,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A104,20170615,20170703,14,16,Fused,4.27,3,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A104,20170615,20170703,14,18,Fused,2.899,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A114,20170616,20170708,14,3,Fused,13.433,17,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,23,,
A114,20170616,20170708,14,4,Fused,7.667,4,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,23,"Faint outline of polyps, most likely dying but still wanted to include",
A114,20170616,20170708,14,5,Fused,1.567,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,23,"This colony was also faint, please check to make sure not just algae! Also one possible polyp on edge, but uncertain so didn't count it",
A117,20170616,20170708,14,10,Fused,3.541,5,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,23,,
A117,20170616,20170708,14,11,Fused,3.622,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,23,,
A178,20170616,20170708,21,6,Fused,12.481,8,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,23,,
A178,20170616,20170708,21,11,Fused,3.016,4,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,23,,
A181,20170615,20170703,21,1,Fused,7.068,6,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A181,20170615,20170703,21,4,Fused,3.853,3,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A181,20170615,20170703,21,5,Fused,3.009,3,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A181,20170615,20170703,21,7,Fused,3.111,5,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A181,20170615,20170703,21,10,Fused,2.999,4,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A261,20170616,20170708,14,2,Fused,6.977,6,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A261,20170616,20170708,14,7,Fused,3.489,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A261,20170616,20170708,14,10,Fused,2.437,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A261,20170616,20170708,14,11,Fused,4.559,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A261,20170616,20170708,14,12,Fused,2.991,3,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A261,20170616,20170708,14,13,Fused,3.92,4,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A261,20170616,20170708,14,14,Fused,6.09,4,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A264,20170616,20170708,14,4,Fused,5.006,4,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A264,20170616,20170708,14,8,Fused,1.663,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A270,20170616,20170708,14,1,Fused,4.472,3,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A271,20170615,20170703,14,3,Fused,22.783,17,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A271,20170615,20170703,14,6,Fused,6.613,4,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A271,20170615,20170703,14,8,Fused,5.801,8,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A271,20170615,20170703,14,11,Fused,4.845,5,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A272,20170615,20170703,14,1,Fused,6.031,4,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A272,20170615,20170703,14,3,Fused,2.635,4,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A298,20170616,20170708,18,1,Fused,1.448,4,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A298,20170616,20170708,18,2,Fused,1.87,4,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A299,20170616,20170708,18,6,Fused,8.903,6,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A299,20170616,20170708,18,7,Fused,9.763,7,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A299,20170616,20170708,18,12,Fused,3.131,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A299,20170616,20170708,18,13,Fused,4.29,4,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A299,20170616,20170708,18,14,Fused,4.202,4,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A299,20170616,20170708,18,16,Fused,4.477,3,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A299,20170616,20170708,18,19,Fused,12.284,10,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A299,20170616,20170708,18,20,Fused,2.224,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A299,20170616,20170708,18,21,Fused,2.067,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A299,20170616,20170708,18,23,Fused,1.338,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A362,20170615,20170703,21,1,Fused,1.755,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A362,20170615,20170703,21,4,Fused,2.776,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A439,20170615,20170703,18,1,Fused,6.751,6,NA,NA,NA,Ambient,Heterotrophy,AH,20170611,19,,
A439,20170615,20170703,18,4,Fused,3.579,3,NA,NA,NA,Ambient,Heterotrophy,AH,20170611,19,,
A439,20170615,20170703,18,5,Fused,1.499,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170611,19,,
A441,20170615,20170703,18,1,Fused,8.902,11,NA,NA,NA,Ambient,Heterotrophy,AH,20170611,19,,
A441,20170615,20170703,18,2,Fused,1.207,3,NA,NA,NA,Ambient,Heterotrophy,AH,20170611,19,,
A441,20170615,20170703,18,3,Fused,1.802,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170611,19,,
A441,20170615,20170703,18,14,Fused,32.993,26,NA,NA,NA,Ambient,Heterotrophy,AH,20170611,19,,
A441,20170615,20170703,18,17,Fused,0.939,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170611,19,,
A464,20170615,20170703,14,2,Fused,31.583,31,NA,NA,NA,Ambient,Heterotrophy,AH,20170611,19,,
A464,20170615,20170703,14,6,Fused,22.047,12,NA,NA,NA,Ambient,Heterotrophy,AH,20170611,19,,
A464,20170615,20170703,14,8,Fused,2.774,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170611,19,,
A465,20170616,20170708,14,4,Fused,7.114,7,NA,NA,NA,Ambient,Heterotrophy,AH,20170611,23,,
A465,20170616,20170708,14,6,Fused,3.03,3,NA,NA,NA,Ambient,Heterotrophy,AH,20170611,23,,
A465,20170616,20170708,14,8,Fused,3.282,3,NA,NA,NA,Ambient,Heterotrophy,AH,20170611,23,,
A465,20170616,20170708,14,9,Fused,4.174,3,NA,NA,NA,Ambient,Heterotrophy,AH,20170611,23,,
A465,20170616,20170708,14,11,Fused,1.381,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170611,23,,
A465,20170616,20170708,14,13,Fused,1.408,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170611,23,,
A077,20170616,20170708,18,7,Not Fused,1.989,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,23,,
A077,20170616,20170708,18,12,Not Fused,1.012,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,23,,
A078,20170616,20170708,18,9,Not Fused,2.351,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,23,,
A080,20170615,20170703,18,6,Not Fused,1.813,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A080,20170615,20170703,18,10,Not Fused,1.447,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A104,20170615,20170703,14,2,Not Fused,1.588,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A104,20170615,20170703,14,4,Not Fused,1.019,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A104,20170615,20170703,14,5,Not Fused,1.442,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A104,20170615,20170703,14,6,Not Fused,2.008,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A104,20170615,20170703,14,7,Not Fused,1.405,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A104,20170615,20170703,14,14,Not Fused,2.123,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A104,20170615,20170703,14,15,Not Fused,1.782,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A104,20170615,20170703,14,17,Not Fused,2.027,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A117,20170616,20170708,14,6,Not Fused,1.811,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,23,"Faint white/transparent outline, most likely dying",
A178,20170616,20170708,21,8,Not Fused,2.742,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,23,,
A181,20170615,20170703,21,6,Not Fused,0.671,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A181,20170615,20170703,21,8,Not Fused,0.708,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A181,20170615,20170703,21,9,Not Fused,2.656,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A181,20170615,20170703,21,12,Not Fused,0.985,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170609,19,,
A261,20170616,20170708,14,1,Not Fused,1.254,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A261,20170616,20170708,14,4,Not Fused,1.241,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A261,20170616,20170708,14,5,Not Fused,1.288,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A261,20170616,20170708,14,6,Not Fused,1.165,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,"Covered in red alage I think, but it still looks like the structure of a polyp, in the final plug too but no distinct polyp",
A261,20170616,20170708,14,8,Not Fused,1.383,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A261,20170616,20170708,14,17,Not Fused,2.079,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A261,20170616,20170708,14,18,Not Fused,3.072,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A264,20170616,20170708,14,1,Not Fused,1.37,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A264,20170616,20170708,14,3,Not Fused,1.696,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A264,20170616,20170708,14,5,Not Fused,1.684,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,"One polyp, but doesn't look as complete as a normal polyp does",
A264,20170616,20170708,14,11,Not Fused,0.551,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,23,,
A271,20170615,20170703,14,1,Not Fused,1.499,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A271,20170615,20170703,14,2,Not Fused,1.445,2,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A271,20170615,20170703,14,4,Not Fused,0.89,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A271,20170615,20170703,14,7,Not Fused,0.867,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A271,20170615,20170703,14,9,Not Fused,2.547,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
A271,20170615,20170703,14,10,Not Fused,0.805,1,NA,NA,NA,Ambient,Heterotrophy,AH,20170610,19,,
