Plug,Spat,Sample,Polyps,Cohort,Temperature,Nutrition,Treatment,Tank,ScanDate,Slice,Position,Tissue,Thickness,Notes
A083,a,A083a,4,20170609,Ambient,Heterotrophy,AH,18,20171212,1,0.42,Polyp,890.92,
A083,a,A083a,4,20170609,Ambient,Heterotrophy,AH,18,20171212,1,0.42,Polyp,839.13,
A083,a,A083a,4,20170609,Ambient,Heterotrophy,AH,18,20171212,1,0.42,Connecting,423.49,
A083,a,A083a,4,20170609,Ambient,Heterotrophy,AH,18,20171212,1,0.42,Connecting,404.96,
A083,a,A083a,4,20170609,Ambient,Heterotrophy,AH,18,20171212,1,0.42,Connecting,350.44,
A083,a,A083a,4,20170609,Ambient,Heterotrophy,AH,18,20171212,2,0.05,Polyp,814.6,
A083,a,A083a,4,20170609,Ambient,Heterotrophy,AH,18,20171212,2,0.05,Polyp,738.51,
A083,a,A083a,4,20170609,Ambient,Heterotrophy,AH,18,20171212,2,0.05,Polyp,820.01,
A083,a,A083a,4,20170609,Ambient,Heterotrophy,AH,18,20171212,2,0.05,Connecting,589.78,
A083,a,A083a,4,20170609,Ambient,Heterotrophy,AH,18,20171212,2,0.05,Connecting,527.52,
A083,a,A083a,4,20170609,Ambient,Heterotrophy,AH,18,20171212,3,-0.33,Polyp,914.02,
A083,a,A083a,4,20170609,Ambient,Heterotrophy,AH,18,20171212,3,-0.33,Connecting,532.23,
A083,a,A083a,4,20170609,Ambient,Heterotrophy,AH,18,20171212,3,-0.33,Connecting,492.81,
A083,b,A083b,6,20170609,Ambient,Heterotrophy,AH,18,20171212,1,-0.42,Polyp,965.97,
A083,b,A083b,6,20170609,Ambient,Heterotrophy,AH,18,20171212,1,-0.42,Polyp,648.29,
A083,b,A083b,6,20170609,Ambient,Heterotrophy,AH,18,20171212,1,-0.42,Connecting,585.66,
A083,b,A083b,6,20170609,Ambient,Heterotrophy,AH,18,20171212,1,-0.42,Connecting,62.94,
A083,b,A083b,6,20170609,Ambient,Heterotrophy,AH,18,20171212,2,-0.09,Polyp,890.35,
A083,b,A083b,6,20170609,Ambient,Heterotrophy,AH,18,20171212,2,-0.09,Polyp,1144.62,
A083,b,A083b,6,20170609,Ambient,Heterotrophy,AH,18,20171212,2,-0.09,Connecting,396.92,
A083,b,A083b,6,20170609,Ambient,Heterotrophy,AH,18,20171212,2,-0.09,Connecting,46.24,
A083,b,A083b,6,20170609,Ambient,Heterotrophy,AH,18,20171212,2,-0.09,Connecting,579.21,
A083,b,A083b,6,20170609,Ambient,Heterotrophy,AH,18,20171212,3,-0.19,Polyp,1083.39,
A083,b,A083b,6,20170609,Ambient,Heterotrophy,AH,18,20171212,3,-0.19,Polyp,1071.98,
A083,b,A083b,6,20170609,Ambient,Heterotrophy,AH,18,20171212,3,-0.19,Connecting,523.55,
A083,b,A083b,6,20170609,Ambient,Heterotrophy,AH,18,20171212,3,-0.19,Connecting,637.64,
A083,c,A083c,3,20170609,Ambient,Heterotrophy,AH,18,20171212,1,0.27,Polyp,608.71,
A083,c,A083c,3,20170609,Ambient,Heterotrophy,AH,18,20171212,1,0.27,Polyp,794.82,
A083,c,A083c,3,20170609,Ambient,Heterotrophy,AH,18,20171212,1,0.27,Connecting,348.57,
A083,c,A083c,3,20170609,Ambient,Heterotrophy,AH,18,20171212,1,0.27,Connecting,531.66,
A083,c,A083c,3,20170609,Ambient,Heterotrophy,AH,18,20171212,1,0.27,Connecting,470.99,
A083,c,A083c,3,20170609,Ambient,Heterotrophy,AH,18,20171212,2,-0.1,Polyp,816.18,
A083,c,A083c,3,20170609,Ambient,Heterotrophy,AH,18,20171212,2,-0.1,Connecting,457,
A083,c,A083c,3,20170609,Ambient,Heterotrophy,AH,18,20171212,2,-0.1,Connecting,496.6,
A084,a,A084a,3,20170609,Ambient,Heterotrophy,AH,18,20171110,1,0.07,Polyp,808.85,
A084,a,A084a,3,20170609,Ambient,Heterotrophy,AH,18,20171110,1,0.07,Polyp,651.77,
A084,a,A084a,3,20170609,Ambient,Heterotrophy,AH,18,20171110,1,0.07,Connecting,247.48,
A084,a,A084a,3,20170609,Ambient,Heterotrophy,AH,18,20171110,1,0.07,Connecting,190.46,
A084,a,A084a,3,20170609,Ambient,Heterotrophy,AH,18,20171110,2,0.41,Polyp,885.25,
A084,a,A084a,3,20170609,Ambient,Heterotrophy,AH,18,20171110,2,0.41,Polyp,800.9,
A084,a,A084a,3,20170609,Ambient,Heterotrophy,AH,18,20171110,2,0.41,Connecting,321.85,
A084,a,A084a,3,20170609,Ambient,Heterotrophy,AH,18,20171110,2,0.41,Connecting,272.68,
